Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R00428	C00001[c] + C00044[c]  <=> C05922[c] 	IB49_02845	-1000.00	1000.00	  0.00
R00429	C00002[c] + C00044[c]  -> C00020[c] + C04494[c] 	IB49_04755 or IB49_14465	  0.00	1000.00	  0.00
R00446	C00001[c] + C00003[c] + C00047[c]  -> C00004[c] + C00014[c] + 2 C00080[c] + C04076[c] 	IB49_12375	  0.00	1000.00	  0.00
R00451	C00080[c] + C00680[c]  <=> C00011[c] + C00047[c] 	IB49_03300	-1000.00	1000.00	  0.00
R00462	C00047[c] + C00080[c]  <=> C00011[c] + C01672[c] 	IB49_15600	-1000.00	1000.00	  0.00
R00465	C00006[c] + C00160[c]  <=> C00005[c] + C00048[c] + C00080[c] 	IB49_06925 or IB49_17995 or IB49_12460	-1000.00	1000.00	  0.00
R00470	C01127[c]  <=> C00022[c] + C00048[c] 	IB49_01635	-1000.00	1000.00	  0.00
R00472	C00010[c] + C00080[c] + C00149[c]  <=> C00001[c] + C00024[c] + C00048[c] 	IB49_18020	-1000.00	  0.00	  0.00
R00475	C00007[c] + C00160[c]  -> C00027[c] + C00048[c] 	IB49_12520 or IB49_18010 or IB49_18015	  0.00	1000.00	  0.00
R00479	C00311[c]  <=> C00042[c] + C00048[c] 	IB49_13645	-1000.00	1000.00	  0.00
R00480	C00002[c] + C00049[c]  <=> C00008[c] + C03082[c] 	IB49_16615 or IB49_08370	-1000.00	1000.00	  0.00
R00481	C00007[c] + C00049[c]  -> C00027[c] + C00080[c] + C05840[c] 	IB49_04865	  0.00	1000.00	  0.00
R00485	C00001[c] + C00152[c]  -> C00014[c] + C00049[c] + C00080[c] 	IB49_02950	  0.00	1000.00	  0.00
R00489	C00049[c] + C00080[c]  <=> C00011[c] + C00099[c] 	IB49_02650	-1000.00	1000.00	  0.00
R00490	C00049[c]  -> C00014[c] + C00080[c] + C00122[c] 	IB49_11610	  0.00	1000.00	  0.00
R00508	C00001[c] + C00053[c]  -> C00009[c] + C00224[c] 	IB49_05620	  0.00	1000.00	  0.00
R00509	C00002[c] + C00224[c]  -> C00008[c] + C00053[c] + C00080[c] 	IB49_12595	  0.00	1000.00	  0.00
R00511	C00001[c] + C00055[c]  -> C00009[c] + C00475[c] 	IB49_08200	  0.00	1000.00	  0.00
R00512	C00002[c] + C00055[c]  <=> C00008[c] + C00112[c] 	IB49_02910 or IB49_02655	-1000.00	1000.00	  0.00
R00513	C00002[c] + C00475[c]  -> C00008[c] + C00055[c] + C00080[c] 	IB49_04610	  0.00	1000.00	  0.00
R00515	C00001[c] + C00063[c]  -> C00013[c] + C00055[c] + C00080[c] 	IB49_10460	  0.00	1000.00	  0.00
R00516	C00075[c] + C00475[c]  -> C00015[c] + C00055[c] + C00080[c] 	IB49_04610	  0.00	1000.00	  0.00
R00517	C00044[c] + C00475[c]  -> C00035[c] + C00055[c] + C00080[c] 	IB49_04610	  0.00	1000.00	  0.00
R00519	C00003[c] + C00058[c]  <=> C00004[c] + C00011[c] 	IB49_12905	-1000.00	1000.00	  0.00
R00529	C00002[c] + C00059[c] + C00080[c]  <=> C00013[c] + C00224[c] 	IB49_12595 or IB49_12600	-1000.00	1000.00	  0.00
R00551	C00001[c] + C00062[c]  -> C00077[c] + C00086[c] 	IB49_11090	  0.00	1000.00	  0.00
R00566	C00062[c] + C00080[c]  <=> C00011[c] + C00179[c] 	IB49_15600	-1000.00	1000.00	  0.00
R00570	C00002[c] + C00112[c]  <=> C00008[c] + C00063[c] 	IB49_02820	-1000.00	1000.00	  0.00
R00571	C00002[c] + C00014[c] + C00075[c]  -> C00008[c] + C00009[c] + C00063[c] + C00080[c] 	IB49_09500	  0.00	1000.00	  0.00
R00573	C00001[c] + C00002[c] + C00064[c] + C00075[c]  -> C00008[c] + C00009[c] + C00025[c] + C00063[c] + 2 C00080[c] 	IB49_09500	  0.00	1000.00	  0.00
R00575	C00001[c] + 2 C00002[c] + C00064[c] + C00288[c]  -> 2 C00008[c] + C00009[c] + C00025[c] + 2 C00080[c] + C00169[c] 	IB49_16005 or IB49_16000 or IB49_14300	  0.00	1000.00	  0.00
R00578	C00001[c] + C00002[c] + C00049[c] + C00064[c]  -> C00013[c] + C00020[c] + C00025[c] + C00080[c] + C00152[c] 	IB49_14815	  0.00	1000.00	  0.00
R00582	C00001[c] + C01005[c]  -> C00009[c] + C00065[c] 	IB49_17740	  0.00	1000.00	  0.00
R00586	C00024[c] + C00065[c]  <=> C00010[c] + C00979[c] 	IB49_10705 or IB49_09125	-1000.00	1000.00	  0.00
R00605	C00003[c] + C00132[c]  <=> C00004[c] + C00067[c] + C00080[c] 	IB49_13915	-1000.00	1000.00	  0.00
R00610	C00001[c] + C00007[c] + C00213[c]  -> C00027[c] + C00037[c] + C00067[c] 	IB49_17395	  0.00	1000.00	  0.00
R00614	C00001[c] + 2 C00067[c]  -> C00058[c] + C00080[c] + C00132[c] 	IB49_13915	  0.00	1000.00	  0.00
R00615	C00001[c] + C00068[c]  <=> C00009[c] + C00080[c] + C01081[c] 	IB49_16115	-1000.00	1000.00	  0.00
R00650	C00019[c] + C00155[c]  <=> C00021[c] + C00073[c] + C00080[c] 	IB49_13860	-1000.00	1000.00	  0.00
R00654	C00001[c] + C00073[c]  -> C00014[c] + C00080[c] + C00109[c] + C00409[c] 	IB49_04570	  0.00	1000.00	  0.00
R00658	C00631[c]  <=> C00001[c] + C00074[c] 	IB49_07350	-1000.00	1000.00	  0.00
R00660	C00043[c] + C00074[c]  <=> C00009[c] + C04631[c] 	IB49_09265 or IB49_09475	-1000.00	1000.00	  0.00
R00662	C00001[c] + C00075[c]  -> C00013[c] + C00080[c] + C00105[c] 	IB49_10460	  0.00	1000.00	  0.00
R00667	C00026[c] + C00077[c]  <=> C00025[c] + C01165[c] 	IB49_11235	-1000.00	1000.00	  0.00
R00671	C00077[c]  -> C00014[c] + C00080[c] + C00148[c] 	IB49_14860	  0.00	1000.00	  0.00
R00674	C00065[c] + C00463[c]  <=> C00001[c] + C00078[c] 	IB49_02770 or IB49_02775	-1000.00	1000.00	  0.00
R00688	C00001[c] + C00003[c] + C00079[c]  -> C00004[c] + C00014[c] + 2 C00080[c] + C00166[c] 	IB49_03695	  0.00	1000.00	  0.00
R00691	C00080[c] + C00826[c]  -> C00001[c] + C00011[c] + C00079[c] 	IB49_04880	  0.00	1000.00	  0.00
R00694	C00026[c] + C00079[c]  <=> C00025[c] + C00166[c] 	IB49_02630 or IB49_06635 or IB49_03080	-1000.00	1000.00	  0.00
R00703	C00003[c] + C00186[c]  <=> C00004[c] + C00022[c] + C00080[c] 	IB49_12995	-1000.00	1000.00	  0.00
R00706	C00006[c] + C00010[c] + C00222[c]  <=> C00005[c] + C00011[c] + C00024[c] 	IB49_01755	-1000.00	1000.00	  0.00
R00708	2 C00001[c] + C00006[c] + C03912[c]  -> C00005[c] + C00025[c] + C00080[c] 	IB49_11230	  0.00	1000.00	  0.00
R00711	C00001[c] + C00006[c] + C00084[c]  -> C00005[c] + C00033[c] + 2 C00080[c] 	IB49_05715 or IB49_13930	  0.00	1000.00	  0.00
R00714	C00001[c] + C00006[c] + C00232[c]  -> C00005[c] + C00042[c] + 2 C00080[c] 	IB49_05715	  0.00	1000.00	  0.00
R00720	C00001[c] + C00081[c]  -> C00013[c] + C00080[c] + C00130[c] 	IB49_05200 or IB49_10460	  0.00	1000.00	  0.00
R00722	C00002[c] + C00104[c]  <=> C00008[c] + C00081[c] 	IB49_02820	-1000.00	1000.00	  0.00
R00732	C00003[c] + C00826[c]  -> C00004[c] + C00011[c] + C00082[c] 	IB49_02760	  0.00	1000.00	  0.00
R00733	C00006[c] + C00826[c]  -> C00005[c] + C00011[c] + C00082[c] 	IB49_02760	  0.00	1000.00	  0.00
R00734	C00026[c] + C00082[c]  <=> C00025[c] + C01179[c] 	IB49_02630 or IB49_06635 or IB49_03080	-1000.00	1000.00	  0.00
R00742	C00002[c] + C00024[c] + C00288[c]  -> C00008[c] + C00009[c] + C00080[c] + C00083[c] 	IB49_18360 or IB49_03790 or IB49_05590 or IB49_05595 or IB49_03530 or IB49_03795 or IB49_18365	  0.00	1000.00	  0.00
R00754	C00003[c] + C00469[c]  <=> C00004[c] + C00080[c] + C00084[c] 	IB49_13935 or IB49_13915 or IB49_01765 or IB49_02205	-1000.00	1000.00	  0.00
R00756	C00002[c] + C00085[c]  -> C00008[c] + C00080[c] + C00354[c] 	IB49_05585 or IB49_01215	  0.00	1000.00	  0.00
