Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R02097	C00299[c] + C00459[c]  -> C00080[c] + C00105[c] + C00363[c] 	IB49_04610	  0.00	1000.00	  0.00
R02098	C00002[c] + C00365[c]  <=> C00008[c] + C01346[c] 	IB49_10320	-1000.00	1000.00	  0.00
R02099	C00002[c] + C00526[c]  -> C00008[c] + C00080[c] + C00365[c] 	IB49_09450	  0.00	1000.00	  0.00
R02100	C00001[c] + C00460[c]  -> C00013[c] + C00080[c] + C00365[c] 	IB49_05200	  0.00	1000.00	  0.00
R02102	C00001[c] + C00365[c]  -> C00009[c] + C00526[c] 	IB49_08200	  0.00	1000.00	  0.00
R02103	C00001[c] + C00003[c] + C00385[c]  -> C00004[c] + C00080[c] + C00366[c] 	IB49_12410	  0.00	1000.00	  0.00
R02124	C00003[c] + C00473[c]  <=> C00004[c] + C00080[c] + C00376[c] 	IB49_13935	-1000.00	1000.00	  0.00
R02133	C00001[c] + C00378[c]  <=> C00080[c] + C01279[c] + C04294[c] 	IB49_13365	-1000.00	1000.00	  0.00
R02135	C00001[c] + C01081[c]  -> C00009[c] + C00378[c] 	IB49_16115 or IB49_05390	  0.00	1000.00	  0.00
R02142	C00013[c] + C00655[c]  <=> C00119[c] + C00385[c] 	IB49_10525 or IB49_10520	-1000.00	  0.00	  0.00
R02147	C00009[c] + C00387[c]  <=> C00242[c] + C00620[c] 	IB49_03365 or IB49_18245	-1000.00	1000.00	  0.00
R02148	C00001[c] + C06193[c]  -> C00009[c] + C00387[c] 	IB49_00850 or IB49_08200	  0.00	1000.00	  0.00
R02164	C00016[c] + C00042[c] + C00080[c]  -> C00122[c] + C01352[c] 	IB49_05240	  0.00	1000.00	  0.00
R02194	C00002[c] + C00010[c] + C01494[c]  <=> C00013[c] + C00020[c] + C00406[c] 	IB49_05325	-1000.00	1000.00	  0.00
R02196	C00001[c] + C00003[c] + C00407[c]  -> C00004[c] + C00014[c] + 2 C00080[c] + C00671[c] 	IB49_03695	  0.00	1000.00	  0.00
R02199	C00026[c] + C00407[c]  <=> C00025[c] + C00671[c] 	IB49_05190	-1000.00	1000.00	  0.00
R02221	C00002[c] + C00010[c] + C00482[c]  <=> C00013[c] + C00020[c] + C00411[c] 	IB49_05325	-1000.00	1000.00	  0.00
R02229	C00004[c] + C00080[c] + C00414[c]  <=> C00003[c] + C00854[c] 	IB49_00335	-1000.00	1000.00	  0.00
R02236	C00006[c] + C00415[c]  <=> C00005[c] + C00080[c] + C00504[c] 	IB49_00910	-1000.00	1000.00	  0.00
R02255	C00002[c] + C00010[c] + C00423[c]  <=> C00013[c] + C00020[c] + C00540[c] 	IB49_05325	-1000.00	1000.00	  0.00
R02257	C00003[c] + C00583[c]  <=> C00004[c] + C00080[c] + C00424[c] 	IB49_13915	-1000.00	1000.00	  0.00
R02260	C00006[c] + C00424[c]  <=> C00005[c] + C00080[c] + C00546[c] 	IB49_13225	-1000.00	1000.00	  0.00
R02272	C00430[c]  <=> C03741[c] 	IB49_05090	-1000.00	1000.00	  0.00
R02273	C00001[c] + C00990[c]  -> C00014[c] + C00080[c] + C00431[c] 	IB49_15035	  0.00	1000.00	  0.00
R02274	C00026[c] + C00431[c]  <=> C00025[c] + C03273[c] 	IB49_11235	-1000.00	1000.00	  0.00
R02280	C00001[c] + C04282[c]  <=> C00014[c] + C00433[c] 	IB49_16620	-1000.00	1000.00	  0.00
R02282	C00025[c] + C00437[c]  <=> C00077[c] + C00624[c] 	IB49_14285	-1000.00	1000.00	  0.00
R02283	C00026[c] + C00437[c]  <=> C00025[c] + C01250[c] 	IB49_11235	-1000.00	1000.00	  0.00
R02291	C00006[c] + C00009[c] + C00441[c]  <=> C00005[c] + C00080[c] + C03082[c] 	IB49_16610	-1000.00	1000.00	  0.00
R02294	C00009[c] + C03150[c]  -> C00080[c] + C00153[c] + C00620[c] 	IB49_03365 or IB49_18245	  0.00	1000.00	  0.00
R02295	C00009[c] + C05841[c]  <=> C00080[c] + C00253[c] + C00620[c] 	IB49_03365 or IB49_18245	-1000.00	1000.00	  0.00
R02296	C00009[c] + C00475[c]  <=> C00380[c] + C00620[c] 	IB49_03360	-1000.00	1000.00	  0.00
R02297	C00009[c] + C01762[c]  <=> C00385[c] + C00620[c] 	IB49_03365 or IB49_18245	-1000.00	1000.00	  0.00
R02300	C00001[c] + C00445[c]  <=> C00080[c] + C03479[c] 	IB49_03930	-1000.00	1000.00	  0.00
R02301	C00002[c] + C03479[c]  -> C00008[c] + C00009[c] + C00445[c] 	IB49_04055	  0.00	1000.00	  0.00
R02322	C00001[c] + C00455[c]  -> C00014[c] + C00080[c] + C01185[c] 	IB49_16705	  0.00	1000.00	  0.00
R02323	C00001[c] + C00455[c]  <=> C00009[c] + C03150[c] 	IB49_08200	-1000.00	1000.00	  0.00
R02326	C00002[c] + C00705[c]  <=> C00008[c] + C00458[c] 	IB49_02820	-1000.00	1000.00	  0.00
R02327	C00299[c] + C00458[c]  -> C00080[c] + C00105[c] + C00705[c] 	IB49_04610	  0.00	1000.00	  0.00
R02331	C00002[c] + C01346[c]  <=> C00008[c] + C00460[c] 	IB49_02820	-1000.00	1000.00	  0.00
R02332	C00299[c] + C00460[c]  -> C00080[c] + C00105[c] + C01346[c] 	IB49_04610	  0.00	1000.00	  0.00
R02340	C03506[c]  <=> C00118[c] + C00463[c] 	IB49_02770 or IB49_02775	-1000.00	1000.00	  0.00
R02352	C00003[c] + C00951[c]  <=> C00004[c] + C00080[c] + C00468[c] 	IB49_00335	-1000.00	1000.00	  0.00
R02370	C00001[c] + C05822[c]  -> C00009[c] + C00475[c] 	IB49_00850 or IB49_08200	  0.00	1000.00	  0.00
R02371	C00458[c] + C00475[c]  -> C00055[c] + C00080[c] + C00705[c] 	IB49_04610	  0.00	1000.00	  0.00
R02372	C00460[c] + C00475[c]  -> C00055[c] + C00080[c] + C01346[c] 	IB49_04610	  0.00	1000.00	  0.00
R02377	C00003[c] + C05979[c]  <=> C00004[c] + C00080[c] + C00479[c] 	IB49_13915 or IB49_02205	-1000.00	1000.00	  0.00
R02394	C00007[c] + 2 C00486[c]  -> 2 C00001[c] + 2 C00500[c] 	IB49_14805	  0.00	1000.00	  0.00
R02401	C00001[c] + C00003[c] + C03273[c]  -> C00004[c] + 2 C00080[c] + C00489[c] 	IB49_05715	  0.00	1000.00	  0.00
R02404	C00002[c] + C00010[c] + C00490[c]  <=> C00008[c] + C00009[c] + C00531[c] 	IB49_16275 or IB49_16270	-1000.00	1000.00	  0.00
R02408	C00001[c] + C00491[c]  <=> C00014[c] + C00022[c] + C00080[c] + C01962[c] 	IB49_06650 or IB49_04570 or IB49_14660	-1000.00	1000.00	  0.00
R02410	C00001[c] + C00492[c]  -> C00095[c] + C05402[c] 	IB49_09760	  0.00	1000.00	  0.00
R02412	C00002[c] + C00493[c]  -> C00008[c] + C00080[c] + C03175[c] 	IB49_02805 or IB49_02075	  0.00	1000.00	  0.00
R02423	C00001[c] + C00080[c] + C00499[c]  <=> C00011[c] + C00014[c] + C02091[c] 	IB49_08770	-1000.00	1000.00	  0.00
R02425	C00001[c] + C02350[c]  -> C00080[c] + C00499[c] 	IB49_15995	  0.00	1000.00	  0.00
R02429	C00502[c]  -> C00001[c] + C03826[c] 	IB49_02040	  0.00	1000.00	  0.00
R02433	C00026[c] + C00506[c]  <=> C00025[c] + C05528[c] 	IB49_02630 or IB49_06635	-1000.00	1000.00	  0.00
R02473	C00002[c] + C00099[c] + C00522[c]  -> C00013[c] + C00020[c] + C00080[c] + C00864[c] 	IB49_02655	  0.00	1000.00	  0.00
R02484	C00009[c] + C00526[c]  <=> C00106[c] + C00672[c] 	IB49_03360 or IB49_03365 or IB49_18245	-1000.00	1000.00	  0.00
R02485	C00001[c] + C00881[c]  -> C00014[c] + C00526[c] 	IB49_04245	  0.00	1000.00	  0.00
R02487	C00016[c] + 2 C00080[c] + C00527[c]  <=> C00011[c] + C00877[c] + C01352[c] 	IB49_12835	-1000.00	  0.00	  0.00
R02488	C00080[c] + C00527[c] + C04253[c]  <=> C00011[c] + C00877[c] + C04570[c] 	IB49_12835	-1000.00	1000.00	  0.00
R02508	C00042[c] + C00080[c] + C00542[c]  <=> C00097[c] + C01118[c] 	IB49_04570 or IB49_14655	-1000.00	  0.00	  0.00
R02527	C00003[c] + C00937[c]  <=> C00004[c] + C00080[c] + C00546[c] 	IB49_06925 or IB49_12460	-1000.00	1000.00	  0.00
R02528	C00005[c] + C00080[c] + C00546[c]  <=> C00006[c] + C05235[c] 	IB49_06615	-1000.00	1000.00	  0.00
R02536	C00001[c] + C00003[c] + C00601[c]  -> C00004[c] + 2 C00080[c] + C07086[c] 	IB49_05715	  0.00	1000.00	  0.00
R02537	C00001[c] + C00006[c] + C00601[c]  -> C00005[c] + 2 C00080[c] + C07086[c] 	IB49_05715	  0.00	1000.00	  0.00
R02540	C00001[c] + C02505[c]  -> C00014[c] + C00080[c] + C07086[c] 	IB49_11830 or IB49_03125	  0.00	1000.00	  0.00
R02545	C00003[c] + C00552[c]  <=> C00004[c] + C00080[c] + C03459[c] 	IB49_09780	-1000.00	1000.00	  0.00
R02549	C00001[c] + C00003[c] + C00555[c]  -> C00004[c] + 2 C00080[c] + C00334[c] 	IB49_05715	  0.00	1000.00	  0.00
R02557	C00009[c] + C00559[c]  <=> C00147[c] + C00672[c] 	IB49_03365 or IB49_18245	-1000.00	1000.00	  0.00
R02558	C00001[c] + C00844[c]  <=> C00031[c] + C00561[c] 	IB49_08540	-1000.00	1000.00	  0.00
R02566	C00001[c] + C00006[c] + C00576[c]  -> C00005[c] + 2 C00080[c] + C00719[c] 	IB49_05715	  0.00	1000.00	  0.00
R02568	C01094[c]  <=> C00111[c] + C00577[c] 	IB49_09485	-1000.00	1000.00	  0.00
R02619	C00026[c] + C00606[c]  <=> C00025[c] + C05527[c] 	IB49_02630 or IB49_06635	-1000.00	1000.00	  0.00
R02658	C00002[c] + C06473[c]  -> C00008[c] + C00080[c] + C01218[c] 	IB49_01640	  0.00	1000.00	  0.00
R02672	C00080[c] + C03590[c]  <=> C00011[c] + C00633[c] 	IB49_12360	-1000.00	1000.00	  0.00
R02678	C00001[c] + C00003[c] + C00637[c]  -> C00004[c] + 2 C00080[c] + C00954[c] 	IB49_05715	  0.00	1000.00	  0.00
R02695	C00001[c] + C00003[c] + C03765[c]  -> C00004[c] + 2 C00080[c] + C00642[c] 	IB49_05715	  0.00	1000.00	  0.00
R02697	C00001[c] + C00006[c] + C03765[c]  -> C00005[c] + 2 C00080[c] + C00642[c] 	IB49_05715	  0.00	1000.00	  0.00
R02698	C00004[c] + C00007[c] + C00080[c] + C00642[c]  -> C00001[c] + C00003[c] + C01161[c] 	IB49_07205	  0.00	1000.00	  0.00
R02705	C00002[c] + C00645[c]  -> C00008[c] + C00080[c] + C04257[c] 	IB49_04020	  0.00	1000.00	  0.00
R02719	C00001[c] + C00655[c]  -> C00009[c] + C01762[c] 	IB49_08200	  0.00	1000.00	  0.00
R02720	C00001[c] + C00700[c]  -> C00013[c] + C00080[c] + C00655[c] 	IB49_05200	  0.00	1000.00	  0.00
R02722	C00065[c] + C03506[c]  -> C00001[c] + C00078[c] + C00118[c] 	IB49_02770 or IB49_02775	  0.00	1000.00	  0.00
R02733	C00001[c] + C04390[c]  <=> C00033[c] + C00666[c] 	IB49_15525	-1000.00	1000.00	  0.00
R02734	C00001[c] + C04421[c]  <=> C00042[c] + C00666[c] 	IB49_06015	-1000.00	1000.00	  0.00
R02735	C00666[c]  <=> C00680[c] 	IB49_06885	-1000.00	1000.00	  0.00
R02748	C00009[c] + C05512[c]  <=> C00262[c] + C00672[c] 	IB49_03365 or IB49_18245	-1000.00	1000.00	  0.00
R02749	C00672[c]  <=> C00673[c] 	IB49_03370	-1000.00	1000.00	  0.00
R02750	C00008[c] + C00080[c] + C00673[c]  <=> C00002[c] + C01801[c] 	IB49_08685	-1000.00	  0.00	  0.00
R02762	C00001[c] + C00003[c] + C00682[c]  -> C00004[c] + 2 C00080[c] + C02501[c] 	IB49_05715	  0.00	1000.00	  0.00
R02765	C01213[c]  <=> C00683[c] 	IB49_03535	-1000.00	1000.00	  0.00
R02776	C00006[c] + C03187[c]  <=> C00005[c] + C00080[c] + C00688[c] 	IB49_17995	-1000.00	1000.00	  0.00
R02783	C00002[c] + C00217[c] + C01212[c]  -> C00008[c] + C00009[c] + C00080[c] + C00692[c] 	IB49_15860	  0.00	1000.00	  0.00
R02786	C00002[c] + C00047[c] + C00692[c]  <=> C00008[c] + C00009[c] + C05892[c] 	IB49_15845	-1000.00	1000.00	  0.00
R02788	C00002[c] + C00680[c] + C00692[c]  -> C00008[c] + C00009[c] + C00080[c] + C04877[c] 	IB49_15845	  0.00	1000.00	  0.00
R02832	C00006[c] + C00729[c]  <=> C00005[c] + C00080[c] + C00783[c] 	IB49_18420	-1000.00	1000.00	  0.00
R02855	C00004[c] + C00080[c] + C00741[c]  <=> C00003[c] + C00810[c] 	IB49_16180	-1000.00	1000.00	  0.00
R02864	2 C00080[c] + C00748[c]  <=> C05778[c] + C14818[c] 	IB49_12590 or IB49_01030 or IB49_12585	-1000.00	1000.00	  0.00
R02869	C00315[c] + C01137[c]  <=> C00080[c] + C00170[c] + C00750[c] 	IB49_09580 or IB49_00660	-1000.00	1000.00	  0.00
R02914	C03680[c]  <=> C00001[c] + C00785[c] 	IB49_17085	-1000.00	1000.00	  0.00
R02921	C00063[c] + C00080[c] + C01068[c]  <=> C00013[c] + C00789[c] 	IB49_10690	-1000.00	1000.00	  0.00
R02928	C00003[c] + C01697[c]  <=> C00004[c] + C00080[c] + C00795[c] 	IB49_16180	-1000.00	1000.00	  0.00
R02935	C00003[c] + C00603[c]  -> C00004[c] + C00080[c] + C00802[c] 	IB49_01645	  0.00	1000.00	  0.00
R02936	C00006[c] + C00603[c]  -> C00005[c] + C00080[c] + C00802[c] 	IB49_01645	  0.00	1000.00	  0.00
R02940	C00001[c] + C00003[c] + C05985[c]  -> C00004[c] + 2 C00080[c] + C00804[c] 	IB49_05715	  0.00	1000.00	  0.00
R02946	C00003[c] + C03044[c]  <=> C00004[c] + C00080[c] + C00810[c] 	IB49_16180	-1000.00	1000.00	  0.00
R02957	2 C00001[c] + C00003[c] + C02670[c]  -> C00004[c] + 3 C00080[c] + C00818[c] 	IB49_05715	  0.00	1000.00	  0.00
R02971	C00002[c] + C00831[c]  -> C00008[c] + C00080[c] + C01134[c] 	IB49_10535	  0.00	1000.00	  0.00
R02984	C00842[c]  <=> C02097[c] 	IB49_09080	-1000.00	1000.00	  0.00
R02985	C00031[c] + C00844[c]  <=> C00001[c] + C08325[c] 	IB49_08540	-1000.00	1000.00	  0.00
R02986	C00002[c] + C00010[c] + C01546[c]  <=> C00013[c] + C00020[c] + C00845[c] 	IB49_16820	-1000.00	1000.00	  0.00
R02990	C00091[c] + C00846[c]  <=> C00042[c] + C02232[c] 	IB49_01875	-1000.00	1000.00	  0.00
R02991	C00001[c] + C03586[c]  -> C00080[c] + C00846[c] 	IB49_06255	  0.00	1000.00	  0.00
R03004	C00001[c] + C00857[c]  -> C00020[c] + 2 C00080[c] + C01185[c] 	IB49_10460	  0.00	1000.00	  0.00
R03005	C00002[c] + C00080[c] + C01185[c]  <=> C00013[c] + C00857[c] 	IB49_04475	-1000.00	1000.00	  0.00
R03012	C00003[c] + C00860[c]  <=> C00004[c] + C00080[c] + C01929[c] 	IB49_07525	-1000.00	1000.00	  0.00
R03013	C00001[c] + C01100[c]  -> C00009[c] + C00860[c] 	IB49_07520 or IB49_05850 or IB49_03025	  0.00	1000.00	  0.00
R03018	C00002[c] + C00864[c]  -> C00008[c] + C00080[c] + C03492[c] 	IB49_10535	  0.00	1000.00	  0.00
R03024	C00001[c] + C03360[c]  <=> C00009[c] + C00080[c] + C00870[c] 	IB49_06945	-1000.00	1000.00	  0.00
R03026	C01144[c]  <=> C00001[c] + C00877[c] 	IB49_09530 or IB49_18375 or IB49_05315	-1000.00	1000.00	  0.00
R03035	C00002[c] + C00080[c] + C01134[c]  <=> C00013[c] + C00882[c] 	IB49_15775	-1000.00	1000.00	  0.00
R03036	C00001[c] + C00882[c]  -> C00020[c] + 2 C00080[c] + C01134[c] 	IB49_10460	  0.00	1000.00	  0.00
R03045	C05668[c]  <=> C00001[c] + C00894[c] 	IB49_09530 or IB49_18375 or IB49_05315	-1000.00	1000.00	  0.00
R03051	C00005[c] + C00080[c] + C00900[c]  <=> C00006[c] + C04039[c] 	IB49_05175	-1000.00	1000.00	  0.00
R03066	C00568[c] + C01300[c]  <=> C00001[c] + C00921[c] 	IB49_10565	-1000.00	1000.00	  0.00
R03067	C00568[c] + C04807[c]  -> C00013[c] + C00921[c] 	IB49_10565	  0.00	1000.00	  0.00
R03083	C04691[c]  -> C00009[c] + C00944[c] 	IB49_02805	  0.00	1000.00	  0.00
R03084	C00944[c]  <=> C00001[c] + C02637[c] 	IB49_02095	-1000.00	1000.00	  0.00
R03096	C00001[c] + C02693[c]  -> C00014[c] + C00080[c] + C00954[c] 	IB49_11830 or IB49_03125	  0.00	1000.00	  0.00
R03104	C00003[c] + C05823[c]  <=> C00004[c] + C00080[c] + C00957[c] 	IB49_12995	-1000.00	1000.00	  0.00
R03119	C00004[c] + C00080[c] + C00969[c]  <=> C00003[c] + C02457[c] 	IB49_13915	-1000.00	1000.00	  0.00
R03122	C00001[c] + C00973[c]  <=> C01935[c] 	IB49_13785	-1000.00	1000.00	  0.00
R03132	C00320[c] + C00979[c]  <=> C00033[c] + C00080[c] + C05824[c] 	IB49_10545	-1000.00	1000.00	  0.00
R03145	C00001[c] + C00022[c] + C00399[c]  -> C00011[c] + C00033[c] + C00390[c] 	IB49_05185	  0.00	1000.00	  0.00
R03165	C01024[c]  <=> C00001[c] + C01051[c] 	IB49_05100 or IB49_12590 or IB49_01175	-1000.00	1000.00	  0.00
R03177	C00001[c] + C00003[c] + C02647[c]  -> C00004[c] + 2 C00080[c] + C01035[c] 	IB49_05715	  0.00	1000.00	  0.00
R03180	C00001[c] + C03078[c]  -> C00014[c] + C00080[c] + C01035[c] 	IB49_11830 or IB49_03125	  0.00	1000.00	  0.00
R03182	C00002[c] + C00011[c] + C01037[c]  -> C00008[c] + C00009[c] + 3 C00080[c] + C01909[c] 	IB49_07185	  0.00	1000.00	  0.00
R03192	C00006[c] + C01050[c]  <=> C00005[c] + C00080[c] + C04631[c] 	IB49_14865	-1000.00	  0.00	  0.00
R03193	C00002[c] + C00041[c] + C01050[c]  -> C00008[c] + C00009[c] + C00080[c] + C01212[c] 	IB49_05935	  0.00	1000.00	  0.00
R03194	2 C00019[c] + C01051[c]  <=> 2 C00021[c] + C00080[c] + C02463[c] 	IB49_12590 or IB49_00975	-1000.00	1000.00	  0.00
R03197	4 C00080[c] + C01051[c]  <=> 4 C00011[c] + C03263[c] 	IB49_13580	-1000.00	1000.00	  0.00
R03209	C00002[c] + C00010[c] + C02656[c]  <=> C00013[c] + C00020[c] + C01063[c] 	IB49_02360	-1000.00	1000.00	  0.00
R03210	C00041[c] + C00080[c] + C01063[c]  <=> C00010[c] + C00011[c] + C01092[c] 	IB49_02360	-1000.00	1000.00	  0.00
R03217	C00097[c] + C01077[c]  -> C00033[c] + C00080[c] + C02291[c] 	IB49_04570 or IB49_14655	  0.00	1000.00	  0.00
R03222	3 C00007[c] + C01079[c]  <=> 3 C00027[c] + C02191[c] 	IB49_13590	-1000.00	1000.00	  0.00
R03223	C00080[c] + C04327[c] + C04752[c]  <=> C00013[c] + C01081[c] 	IB49_09805	-1000.00	1000.00	  0.00
R03231	C00019[c] + C01092[c]  <=> C01037[c] + C04425[c] 	IB49_07180	-1000.00	1000.00	  0.00
R03236	C00002[c] + C01097[c]  -> C00008[c] + C00080[c] + C03785[c] 	IB49_05585 or IB49_01215	  0.00	1000.00	  0.00
R03237	C00063[c] + C01097[c]  -> C00080[c] + C00112[c] + C03785[c] 	IB49_05585 or IB49_01215	  0.00	1000.00	  0.00
R03238	C00075[c] + C01097[c]  -> C00015[c] + C00080[c] + C03785[c] 	IB49_05585 or IB49_01215	  0.00	1000.00	  0.00
R03239	C00081[c] + C01097[c]  -> C00080[c] + C00104[c] + C03785[c] 	IB49_05585 or IB49_01215	  0.00	1000.00	  0.00
R03243	C00026[c] + C01100[c]  <=> C00025[c] + C01267[c] 	IB49_03080	-1000.00	1000.00	  0.00
R03256	C00001[c] + C05396[c]  <=> C00221[c] + C01113[c] 	IB49_08540	-1000.00	1000.00	  0.00
R03260	C00097[c] + C01118[c]  -> C00042[c] + C00080[c] + C02291[c] 	IB49_04570 or IB49_14655	  0.00	1000.00	  0.00
R03276	C01144[c]  <=> C03561[c] 	IB49_09530	-1000.00	1000.00	  0.00
R03283	C00001[c] + C00003[c] + C01149[c]  -> C00004[c] + 2 C00080[c] + C01181[c] 	IB49_05715	  0.00	1000.00	  0.00
R03293	C00006[c] + C01157[c]  <=> C00005[c] + 2 C00080[c] + C04281[c] 	IB49_03455	-1000.00	1000.00	  0.00
R03300	C00001[c] + C00003[c] + C04043[c]  -> C00004[c] + 2 C00080[c] + C01161[c] 	IB49_05715	  0.00	1000.00	  0.00
R03302	C00001[c] + C00006[c] + C04043[c]  -> C00005[c] + 2 C00080[c] + C01161[c] 	IB49_05715	  0.00	1000.00	  0.00
R03307	C01278[c]  -> C00080[c] + C01163[c] 	IB49_11710	  0.00	1000.00	  0.00
R03313	C00006[c] + C00009[c] + C01165[c]  <=> C00005[c] + C00080[c] + C03287[c] 	IB49_02050	-1000.00	1000.00	  0.00
R03315	C00002[c] + C02067[c]  -> C00008[c] + C00080[c] + C01168[c] 	IB49_17110	  0.00	1000.00	  0.00
R03317	C00001[c] + 2 C00003[c] + C01170[c]  -> 2 C00004[c] + 2 C00080[c] + C06240[c] 	IB49_07990	  0.00	1000.00	  0.00
R03346	C00001[c] + C01185[c]  -> C00009[c] + C05841[c] 	IB49_08200	  0.00	1000.00	  0.00
R03348	C00011[c] + C00013[c] + C01185[c]  <=> 2 C00080[c] + C00119[c] + C03722[c] 	IB49_04860	-1000.00	1000.00	  0.00
R03383	C00002[c] + C00010[c] + C02170[c]  -> C00013[c] + C00020[c] + C01213[c] 	IB49_13605	  0.00	1000.00	  0.00
R03387	C00002[c] + C01216[c]  -> C00008[c] + C00080[c] + C01286[c] 	IB49_01640	  0.00	1000.00	  0.00
R03407	C00005[c] + C00080[c] + C01227[c]  <=> C00006[c] + C04295[c] 	IB49_00335	-1000.00	1000.00	  0.00
R03457	C04666[c]  -> C00001[c] + C01267[c] 	IB49_07520	  0.00	1000.00	  0.00
R03458	C00006[c] + C04454[c]  <=> C00005[c] + C00080[c] + C01268[c] 	IB49_03275	-1000.00	1000.00	  0.00
R03459	C00001[c] + C01304[c]  <=> C00014[c] + C01268[c] 	IB49_03275	-1000.00	1000.00	  0.00
R03460	C00074[c] + C03175[c]  <=> C00009[c] + C01269[c] 	IB49_02755	-1000.00	1000.00	  0.00
R03471	C00002[c] + C01279[c]  -> C00008[c] + C00080[c] + C04556[c] 	IB49_09805	  0.00	1000.00	  0.00
R03472	C00019[c] + C03373[c]  <=> C00058[c] + C00073[c] + 3 C00080[c] + C00237[c] + C04556[c] + C05198[c] 	IB49_10530	-1000.00	1000.00	  0.00
R03494	C00002[c] + C00288[c] + C01920[c]  -> C00008[c] + C00009[c] + C00080[c] + C01291[c] 	IB49_18380 or IB49_18360	  0.00	1000.00	  0.00
R03503	C00002[c] + C01300[c]  -> C00020[c] + C00080[c] + C04807[c] 	IB49_10565 or IB49_10575	  0.00	1000.00	  0.00
R03504	C04874[c]  <=> C00266[c] + C01300[c] 	IB49_10575 or IB49_10570	-1000.00	1000.00	  0.00
R03508	C00080[c] + C01302[c]  -> C00001[c] + C00011[c] + C03506[c] 	IB49_02785 or IB49_10555	  0.00	1000.00	  0.00
R03509	C04302[c]  <=> C01302[c] 	IB49_02785 or IB49_10555	-1000.00	1000.00	  0.00
R03530	C00002[c] + C01344[c]  <=> C00008[c] + C01345[c] 	IB49_02820	-1000.00	1000.00	  0.00
R03531	C00001[c] + C01345[c]  -> C00013[c] + C00080[c] + C06196[c] 	IB49_05200	  0.00	1000.00	  0.00
R03537	C00001[c] + C02353[c]  -> C00080[c] + C01367[c] 	IB49_00850 or IB49_08200	  0.00	1000.00	  0.00
R03538	C00001[c] + C02355[c]  -> C00080[c] + C01368[c] 	IB49_00850 or IB49_08200	  0.00	1000.00	  0.00
R03545	C00005[c] + C00080[c] + C01412[c]  <=> C00006[c] + C06142[c] 	IB49_06615	-1000.00	1000.00	  0.00
R03596	3 C00001[c] + 3 C00006[c] + C01528[c]  <=> 3 C00005[c] + 5 C00080[c] + C05684[c] 	IB49_07485	-1000.00	1000.00	  0.00
R03601	C00979[c] + C01528[c]  <=> C00033[c] + C00080[c] + C05688[c] 	IB49_10545	-1000.00	1000.00	  0.00
R03635	C00001[c] + C01613[c]  -> C00095[c] + C05404[c] 	IB49_09760	  0.00	1000.00	  0.00
R03707	C00003[c] + C03046[c]  <=> C00004[c] + C00080[c] + C01769[c] 	IB49_00335 or IB49_16180	-1000.00	1000.00	  0.00
R03777	C00016[c] + C00080[c] + C01944[c]  <=> C01352[c] + C05276[c] 	IB49_16825 or IB49_15415 or IB49_05755	-1000.00	  0.00	  0.00
R03778	C00024[c] + C01944[c]  <=> C00010[c] + C05265[c] 	IB49_01860 or IB49_07135 or IB49_05740	-1000.00	  0.00	  0.00
R03857	C00016[c] + C00080[c] + C01832[c]  <=> C01352[c] + C03221[c] 	IB49_16825 or IB49_15415 or IB49_05755	-1000.00	  0.00	  0.00
R03858	C00024[c] + C01832[c]  <=> C00010[c] + C05261[c] 	IB49_01860 or IB49_07135 or IB49_05740	-1000.00	  0.00	  0.00
R03869	C00001[c] + C00003[c] + C06002[c]  -> C00004[c] + 2 C00080[c] + C02170[c] 	IB49_05715	  0.00	1000.00	  0.00
R03889	C00001[c] + C00003[c] + C03824[c]  -> C00004[c] + C00080[c] + C02220[c] 	IB49_05715	  0.00	1000.00	  0.00
R03896	C02612[c]  <=> C00001[c] + C02226[c] 	IB49_05160 or IB49_05155	-1000.00	1000.00	  0.00
R03898	C00001[c] + C02226[c]  <=> C06032[c] 	IB49_05160 or IB49_05155	-1000.00	1000.00	  0.00
R03921	C00001[c] + C16688[c]  -> C00092[c] + C00095[c] 	IB49_09760	  0.00	1000.00	  0.00
R03929	C00001[c] + C02354[c]  -> C00080[c] + C05822[c] 	IB49_00850 or IB49_08200	  0.00	1000.00	  0.00
R03942	C00003[c] + C02431[c]  -> C00004[c] + C00080[c] + C02991[c] 	IB49_16180	  0.00	1000.00	  0.00
R03947	C00003[c] + C02463[c]  <=> C00004[c] + 2 C00080[c] + C05778[c] 	IB49_12590	-1000.00	1000.00	  0.00
R03948	C00019[c] + C02463[c]  <=> C00021[c] + C00080[c] + C05772[c] 	IB49_01005	-1000.00	1000.00	  0.00
R03968	C02504[c]  <=> C00001[c] + C02631[c] 	IB49_05160 or IB49_05155	-1000.00	1000.00	  0.00
R03990	C00016[c] + C00080[c] + C02593[c]  <=> C01352[c] + C05273[c] 	IB49_16825 or IB49_15415 or IB49_05755	-1000.00	  0.00	  0.00
R03991	C00024[c] + C02593[c]  <=> C00010[c] + C05259[c] 	IB49_01860 or IB49_07135 or IB49_05740	-1000.00	  0.00	  0.00
R03999	2 C00005[c] + C00007[c] + 2 C00080[c] + C02247[c]  -> C00001[c] + 2 C00006[c] + C05165[c] 	IB49_03465	  0.00	1000.00	  0.00
R04001	C04411[c]  <=> C00001[c] + C02631[c] 	IB49_05160 or IB49_05155	-1000.00	1000.00	  0.00
